Week,Description,Quantity,Sales,AvgUnitPrice,Orders
2010-11-08,ASSORTED COLOUR BIRD ORNAMENT,5584,8503.52,1.7255555555555555,61
2010-11-15,ASSORTED COLOUR BIRD ORNAMENT,1476,2402.52,1.7432394366197184,65
2010-11-22,ASSORTED COLOUR BIRD ORNAMENT,947,1610.03,1.818,44
2010-11-29,ASSORTED COLOUR BIRD ORNAMENT,2096,3460.64,1.7846666666666666,53
2010-12-06,ASSORTED COLOUR BIRD ORNAMENT,1401,2386.89,1.794776119402985,35
2010-12-13,ASSORTED COLOUR BIRD ORNAMENT,638,1088.3,1.9164516129032256,31
2010-12-20,ASSORTED COLOUR BIRD ORNAMENT,40,67.6,1.6900000000000002,3
2011-01-03,ASSORTED COLOUR BIRD ORNAMENT,480,811.2,1.69,16
2011-01-10,ASSORTED COLOUR BIRD ORNAMENT,442,755.46,1.8645833333333333,23
2011-01-17,ASSORTED COLOUR BIRD ORNAMENT,139,257.79,1.9283333333333335,11
2011-01-24,ASSORTED COLOUR BIRD ORNAMENT,344,554.4,1.764375,15
2011-01-31,ASSORTED COLOUR BIRD ORNAMENT,937,1429.93,1.6530769230769229,25
2011-02-07,ASSORTED COLOUR BIRD ORNAMENT,160,281.84,1.82,11
2011-02-14,ASSORTED COLOUR BIRD ORNAMENT,588,955.3199999999999,1.6811111111111112,26
2011-02-21,ASSORTED COLOUR BIRD ORNAMENT,328,554.3199999999999,1.69,16
2011-02-28,ASSORTED COLOUR BIRD ORNAMENT,213,394.28999999999996,1.848888888888889,17
2011-03-07,ASSORTED COLOUR BIRD ORNAMENT,642,1019.62,1.7265384615384616,26
2011-03-14,ASSORTED COLOUR BIRD ORNAMENT,968,1520.72,1.66,24
2011-03-21,ASSORTED COLOUR BIRD ORNAMENT,391,660.79,1.69,30
2011-03-28,ASSORTED COLOUR BIRD ORNAMENT,585,961.69,1.7395833333333333,23
2011-04-04,ASSORTED COLOUR BIRD ORNAMENT,753,1207.21,1.7227586206896552,29
2011-04-11,ASSORTED COLOUR BIRD ORNAMENT,815,1377.35,1.69,39
2011-04-18,ASSORTED COLOUR BIRD ORNAMENT,612,952.92,1.6442307692307692,26
2011-04-25,ASSORTED COLOUR BIRD ORNAMENT,264,440.72,1.6721052631578948,19
2011-05-02,ASSORTED COLOUR BIRD ORNAMENT,594,1015.3,1.7308571428571429,35
2011-05-09,ASSORTED COLOUR BIRD ORNAMENT,1201,1925.93,1.7073170731707317,40
2011-05-16,ASSORTED COLOUR BIRD ORNAMENT,595,1016.9899999999999,1.7346875,32
2011-05-23,ASSORTED COLOUR BIRD ORNAMENT,565,916.45,1.6814285714285713,28
2011-05-30,ASSORTED COLOUR BIRD ORNAMENT,384,648.9599999999999,1.69,22
2011-06-06,ASSORTED COLOUR BIRD ORNAMENT,292,493.48,1.69,20
2011-06-13,ASSORTED COLOUR BIRD ORNAMENT,446,726.78,1.7495,20
2011-06-20,ASSORTED COLOUR BIRD ORNAMENT,270,456.3,1.69,17
2011-06-27,ASSORTED COLOUR BIRD ORNAMENT,292,504.91999999999996,1.7741176470588236,17
2011-07-04,ASSORTED COLOUR BIRD ORNAMENT,460,788.84,1.7495833333333335,24
2011-07-11,ASSORTED COLOUR BIRD ORNAMENT,372,628.68,1.69,22
2011-07-18,ASSORTED COLOUR BIRD ORNAMENT,519,877.11,1.69,25
2011-07-25,ASSORTED COLOUR BIRD ORNAMENT,478,807.8199999999999,1.69,32
2011-08-01,ASSORTED COLOUR BIRD ORNAMENT,3800,5615.6,1.661764705882353,33
2011-08-08,ASSORTED COLOUR BIRD ORNAMENT,1323,2003.55,1.6804,25
2011-08-15,ASSORTED COLOUR BIRD ORNAMENT,556,901.24,1.6807692307692306,25
2011-08-22,ASSORTED COLOUR BIRD ORNAMENT,850,1321.3,1.6623076923076923,26
2011-08-29,ASSORTED COLOUR BIRD ORNAMENT,216,376.48,1.8091666666666668,12
2011-09-05,ASSORTED COLOUR BIRD ORNAMENT,488,824.72,1.69,28
2011-09-12,ASSORTED COLOUR BIRD ORNAMENT,908,1430.76,1.7136666666666664,30
2011-09-19,ASSORTED COLOUR BIRD ORNAMENT,701,1157.73,1.7230555555555556,33
2011-09-26,ASSORTED COLOUR BIRD ORNAMENT,799,1284.95,1.7143589743589744,37
2011-10-03,ASSORTED COLOUR BIRD ORNAMENT,589,995.41,1.69,39
2011-10-10,ASSORTED COLOUR BIRD ORNAMENT,420,709.8,1.6899999999999997,25
2011-10-17,ASSORTED COLOUR BIRD ORNAMENT,829,1324.21,1.6758823529411764,33
2011-10-24,ASSORTED COLOUR BIRD ORNAMENT,778,1402.26,1.7539024390243902,40
2011-10-31,ASSORTED COLOUR BIRD ORNAMENT,968,1608.96,1.7138,50
2011-11-07,ASSORTED COLOUR BIRD ORNAMENT,1748,2689.0,1.7205128205128204,37
2011-11-14,ASSORTED COLOUR BIRD ORNAMENT,1326,2125.74,1.6781967213114752,58
2011-11-21,ASSORTED COLOUR BIRD ORNAMENT,1037,1698.61,1.7102127659574466,45
2011-11-28,ASSORTED COLOUR BIRD ORNAMENT,953,1568.09,1.7480487804878049,41
2011-12-05,ASSORTED COLOUR BIRD ORNAMENT,672,1127.52,1.884074074074074,27
2009-11-30,BLACK RECORD COVER FRAME,114,401.0,4.973333333333334,6
2009-12-07,BLACK RECORD COVER FRAME,319,1144.96,4.231538461538461,13
2009-12-14,BLACK RECORD COVER FRAME,232,820.45,5.12625,8
2009-12-21,BLACK RECORD COVER FRAME,4,15.0,3.75,1
2010-01-04,BLACK RECORD COVER FRAME,18,67.5,3.75,3
2010-01-11,BLACK RECORD COVER FRAME,61,215.34,4.920000000000001,3
2010-01-18,BLACK RECORD COVER FRAME,64,238.2,4.38,5
2010-01-25,BLACK RECORD COVER FRAME,59,212.61,3.698571428571429,7
2010-02-01,BLACK RECORD COVER FRAME,231,788.49,3.5442857142857145,7
2010-02-08,BLACK RECORD COVER FRAME,24,90.0,3.75,3
2010-02-15,BLACK RECORD COVER FRAME,73,251.7,4.8,3
2010-02-22,BLACK RECORD COVER FRAME,176,599.52,3.4620000000000006,5
2010-03-01,BLACK RECORD COVER FRAME,100,340.44,3.4620000000000006,5
2010-03-08,BLACK RECORD COVER FRAME,33,118.98,4.92,3
2010-03-15,BLACK RECORD COVER FRAME,56,196.59,4.38,5
2010-03-22,BLACK RECORD COVER FRAME,75,267.84000000000003,4.335,6
2010-03-29,BLACK RECORD COVER FRAME,104,364.08,3.6060000000000003,5
2010-04-05,BLACK RECORD COVER FRAME,100,340.44,3.5700000000000003,2
2010-04-19,BLACK RECORD COVER FRAME,8,45.480000000000004,6.330000000000001,3
2010-04-26,BLACK RECORD COVER FRAME,350,1191.54,3.6300000000000003,5
2010-05-03,BLACK RECORD COVER FRAME,132,451.8,3.5442857142857145,7
2010-05-10,BLACK RECORD COVER FRAME,29,103.98,4.92,3
2010-05-17,BLACK RECORD COVER FRAME,80,274.08,3.5700000000000003,4
2010-05-24,BLACK RECORD COVER FRAME,35,122.61,3.6300000000000003,3
2010-05-31,BLACK RECORD COVER FRAME,55,197.61,3.66,4
2010-06-07,BLACK RECORD COVER FRAME,210,745.47,4.88,9
2010-06-14,BLACK RECORD COVER FRAME,160,552.03,4.2,7
2010-06-21,BLACK RECORD COVER FRAME,56,212.07,4.5375,4
2010-06-28,BLACK RECORD COVER FRAME,49,175.11,3.66,4
2010-07-05,BLACK RECORD COVER FRAME,144,488.15999999999997,3.39,2
2010-07-12,BLACK RECORD COVER FRAME,76,259.08,3.5100000000000002,3
2010-07-19,BLACK RECORD COVER FRAME,32,111.36,3.5700000000000003,2
2010-07-26,BLACK RECORD COVER FRAME,388,1316.76,3.4620000000000006,5
2010-08-02,BLACK RECORD COVER FRAME,35,122.61,3.66,4
2010-08-09,BLACK RECORD COVER FRAME,25,85.11,3.5700000000000003,2
2010-08-16,BLACK RECORD COVER FRAME,72,244.07999999999998,3.39,2
2010-08-23,BLACK RECORD COVER FRAME,48,162.72,3.39,1
2010-08-30,BLACK RECORD COVER FRAME,15,63.99,4.7175,4
2010-09-06,BLACK RECORD COVER FRAME,128,461.82000000000005,4.101,10
2010-09-13,BLACK RECORD COVER FRAME,28,96.36,3.5700000000000003,2
2010-09-20,BLACK RECORD COVER FRAME,173,600.78,4.02,9
2010-09-27,BLACK RECORD COVER FRAME,40,141.36,3.66,4
2010-10-04,BLACK RECORD COVER FRAME,638,2185.14,3.6060000000000003,9
2010-10-11,BLACK RECORD COVER FRAME,401,1373.25,4.09875,8
2010-10-18,BLACK RECORD COVER FRAME,310,1067.46,3.5900000000000003,9
2010-10-25,BLACK RECORD COVER FRAME,182,625.89,4.2749999999999995,6
2010-11-01,BLACK RECORD COVER FRAME,13,48.75,3.75,4
2010-11-08,BLACK RECORD COVER FRAME,928,3155.5499999999997,3.957,10
2010-11-15,BLACK RECORD COVER FRAME,191,659.64,4.148571428571429,7
2010-11-22,BLACK RECORD COVER FRAME,190,659.76,4.003636363636364,11
2010-11-29,BLACK RECORD COVER FRAME,1302,4415.94,3.48,7
2010-12-06,BLACK RECORD COVER FRAME,1146,3927.15,4.6095,11
2010-12-13,BLACK RECORD COVER FRAME,575,1961.3999999999999,4.148571428571429,7
2010-12-20,BLACK RECORD COVER FRAME,55,192.84,4.6275,4
2011-01-03,BLACK RECORD COVER FRAME,177,603.27,3.5340000000000003,5
2011-01-10,BLACK RECORD COVER FRAME,20,75.0,3.75,4
2011-01-17,BLACK RECORD COVER FRAME,24,104.84,4.6775,4
2011-01-24,BLACK RECORD COVER FRAME,3,11.25,3.75,1
2011-01-31,BLACK RECORD COVER FRAME,592,2012.64,3.615,8
2011-02-14,BLACK RECORD COVER FRAME,40,141.36,3.6300000000000003,3
2011-02-21,BLACK RECORD COVER FRAME,69,245.18,4.42,5
2011-03-07,BLACK RECORD COVER FRAME,6,22.5,3.75,2
2011-03-14,BLACK RECORD COVER FRAME,120,415.44,3.595714285714286,7
2011-03-21,BLACK RECORD COVER FRAME,117,449.93,4.177142857142857,7
2011-03-28,BLACK RECORD COVER FRAME,50,201.12,4.42,5
2011-04-04,BLACK RECORD COVER FRAME,11,41.25,3.75,4
2011-04-11,BLACK RECORD COVER FRAME,84,289.08,3.5100000000000002,3
2011-04-18,BLACK RECORD COVER FRAME,110,386.58000000000004,3.69,6
2011-04-25,BLACK RECORD COVER FRAME,38,133.86,3.66,4
2011-05-02,BLACK RECORD COVER FRAME,396,1354.18,4.002222222222223,8
2011-05-09,BLACK RECORD COVER FRAME,81,286.47,3.6471428571428572,7
2011-05-16,BLACK RECORD COVER FRAME,36,126.36,3.6300000000000003,3
2011-05-30,BLACK RECORD COVER FRAME,504,1708.56,3.39,4
2011-06-06,BLACK RECORD COVER FRAME,18,71.21000000000001,4.492,5
2011-06-13,BLACK RECORD COVER FRAME,865,2952.48,4.218333333333333,12
2011-06-20,BLACK RECORD COVER FRAME,131,464.11,4.07875,8
2011-06-27,BLACK RECORD COVER FRAME,236,807.24,3.5700000000000003,6
2011-07-04,BLACK RECORD COVER FRAME,90,331.35,4.16875,8
2011-07-11,BLACK RECORD COVER FRAME,100,340.44,3.48,4
2011-07-18,BLACK RECORD COVER FRAME,254,869.8100000000001,4.074285714285714,7
2011-07-25,BLACK RECORD COVER FRAME,116,404.15,4.07875,8
2011-08-08,BLACK RECORD COVER FRAME,73,247.82999999999998,3.5100000000000002,3
2011-08-15,BLACK RECORD COVER FRAME,270,917.46,3.525,8
2011-08-22,BLACK RECORD COVER FRAME,20,75.0,3.75,4
2011-08-29,BLACK RECORD COVER FRAME,176,614.36,4.806666666666667,6
2011-09-05,BLACK RECORD COVER FRAME,104,355.44,3.5700000000000003,4
2011-09-12,BLACK RECORD COVER FRAME,210,733.22,4.1257142857142854,7
2011-09-19,BLACK RECORD COVER FRAME,38,144.99,4.308333333333334,6
2011-09-26,BLACK RECORD COVER FRAME,202,715.5699999999999,4.248333333333333,12
2011-10-03,BLACK RECORD COVER FRAME,305,1063.55,3.9236363636363634,11
2011-10-10,BLACK RECORD COVER FRAME,25,119.72,4.368333333333333,6
2011-10-17,BLACK RECORD COVER FRAME,184,638.16,3.6300000000000003,9
2011-10-24,BLACK RECORD COVER FRAME,95,334.03999999999996,4.177142857142857,7
2011-10-31,BLACK RECORD COVER FRAME,433,1481.19,3.619090909090909,11
2011-11-07,BLACK RECORD COVER FRAME,857,2952.55,4.434444444444444,18
2011-11-14,BLACK RECORD COVER FRAME,259,955.29,4.527727272727272,22
2011-11-21,BLACK RECORD COVER FRAME,584,2086.4700000000003,5.1979999999999995,18
2011-11-28,BLACK RECORD COVER FRAME,183,735.8,5.255263157894737,19
2011-12-05,BLACK RECORD COVER FRAME,1506,5337.29,4.624827586206897,29
2009-11-30,CHILLI LIGHTS,117,533.71,5.99,13
2009-12-07,CHILLI LIGHTS,179,829.73,5.5425,16
2009-12-14,CHILLI LIGHTS,173,821.31,6.476999999999999,19
2009-12-21,CHILLI LIGHTS,19,99.49000000000001,6.3100000000000005,4
2010-01-04,CHILLI LIGHTS,17,84.15,4.95,4
2010-01-11,CHILLI LIGHTS,23,139.95000000000002,8.43,6
2010-02-01,CHILLI LIGHTS,24,108.30000000000001,4.775,4
2010-02-15,CHILLI LIGHTS,1,4.95,4.95,1
2010-03-01,CHILLI LIGHTS,2,9.9,4.95,2
2010-03-29,CHILLI LIGHTS,450,1783.5,4.737692307692308,13
2010-04-05,CHILLI LIGHTS,216,960.9,6.631666666666667,12
2010-04-12,CHILLI LIGHTS,91,396.87,5.395714285714286,7
2010-04-19,CHILLI LIGHTS,116,533.48,5.667333333333334,15
2010-04-26,CHILLI LIGHTS,55,303.57,6.485294117647059,17
2010-05-03,CHILLI LIGHTS,62,306.90000000000003,4.95,11
2010-05-10,CHILLI LIGHTS,16,79.2,4.95,5
2010-05-17,CHILLI LIGHTS,87,404.31,5.771818181818182,11
2010-05-24,CHILLI LIGHTS,69,307.95,4.716666666666667,6
2010-05-31,CHILLI LIGHTS,29,143.55,4.95,5
2010-06-07,CHILLI LIGHTS,220,959.8199999999999,5.21,12
2010-06-14,CHILLI LIGHTS,25,123.75,4.95,6
2010-06-21,CHILLI LIGHTS,35,178.47000000000003,5.695714285714287,7
2010-06-28,CHILLI LIGHTS,22,106.10000000000001,4.8100000000000005,5
2010-07-05,CHILLI LIGHTS,88,390.42,5.296666666666667,9
2010-07-12,CHILLI LIGHTS,6,29.700000000000003,4.95,2
2010-07-19,CHILLI LIGHTS,8,50.04,7.56,4
2010-07-26,CHILLI LIGHTS,5,40.41,8.43,3
2010-08-02,CHILLI LIGHTS,17,89.37,6.255,4
2010-08-09,CHILLI LIGHTS,45,205.95,4.833333333333333,6
2010-08-16,CHILLI LIGHTS,37,166.35,4.8100000000000005,5
2010-08-23,CHILLI LIGHTS,70,307.3,4.716666666666667,6
2010-08-30,CHILLI LIGHTS,110,645.38,5.44625,8
2010-09-06,CHILLI LIGHTS,68,308.21999999999997,5.332,10
2010-09-13,CHILLI LIGHTS,38,176.52,5.854,5
2010-09-20,CHILLI LIGHTS,180,910.75,6.18625,7
2010-09-27,CHILLI LIGHTS,239,1286.93,5.568125,16
2010-10-04,CHILLI LIGHTS,542,2473.89,4.963333333333334,15
2010-10-11,CHILLI LIGHTS,152,726.84,5.531764705882353,17
2010-10-18,CHILLI LIGHTS,228,1185.69,5.30375,24
2010-10-25,CHILLI LIGHTS,176,1021.67,5.480625,16
2010-11-01,CHILLI LIGHTS,123,590.9100000000001,5.481764705882353,17
2010-11-08,CHILLI LIGHTS,541,2823.73,5.6607317073170735,41
2010-11-15,CHILLI LIGHTS,304,1394.46,5.0188,25
2010-11-22,CHILLI LIGHTS,343,1506.4,5.597894736842105,19
2010-11-29,CHILLI LIGHTS,1452,6724.04,5.4094827586206895,36
2010-12-06,CHILLI LIGHTS,655,3830.6299999999997,6.38078947368421,22
2010-12-13,CHILLI LIGHTS,589,2494.07,5.341379310344828,28
2010-12-20,CHILLI LIGHTS,60,279.06,6.7325,8
2011-01-03,CHILLI LIGHTS,933,3882.17,4.856818181818182,21
2011-01-10,CHILLI LIGHTS,175,776.91,5.6445454545454545,11
2011-01-17,CHILLI LIGHTS,165,689.6999999999999,5.630909090909092,10
2011-01-24,CHILLI LIGHTS,105,506.91,7.313999999999999,15
2011-01-31,CHILLI LIGHTS,99,566.69,7.01,11
2011-02-07,CHILLI LIGHTS,192,985.32,6.437142857142858,14
2011-02-14,CHILLI LIGHTS,305,1588.3300000000002,6.606428571428571,13
2011-02-21,CHILLI LIGHTS,75,487.56,7.731428571428571,14
2011-02-28,CHILLI LIGHTS,39,210.09,6.598000000000001,5
2011-03-07,CHILLI LIGHTS,270,1516.3000000000002,6.378,15
2011-03-14,CHILLI LIGHTS,108,656.45,6.408888888888889,17
2011-03-21,CHILLI LIGHTS,22,133.21,6.58875,8
2011-03-28,CHILLI LIGHTS,85,639.54,8.867142857142857,7
2011-04-04,CHILLI LIGHTS,14,161.02,7.986666666666667,3
2011-04-11,CHILLI LIGHTS,5,55.59,9.105,2
2011-04-18,CHILLI LIGHTS,4,49.84,12.46,1
2011-04-25,CHILLI LIGHTS,5,62.300000000000004,12.46,1
2011-05-02,CHILLI LIGHTS,109,583.5,6.601666666666667,6
2011-05-09,CHILLI LIGHTS,187,993.6000000000001,6.0200000000000005,13
2011-05-16,CHILLI LIGHTS,44,253.0,5.75,11
2011-05-23,CHILLI LIGHTS,72,375.6,5.572222222222222,9
2011-05-30,CHILLI LIGHTS,27,188.8,6.708571428571429,7
2011-06-06,CHILLI LIGHTS,95,594.15,6.53875,16
2011-06-13,CHILLI LIGHTS,113,679.38,7.2275,12
2011-06-20,CHILLI LIGHTS,60,345.93,7.0120000000000005,10
2011-06-27,CHILLI LIGHTS,113,593.08,6.38875,8
2011-07-04,CHILLI LIGHTS,23,199.35000000000002,7.986666666666667,6
2011-07-11,CHILLI LIGHTS,33,236.72,6.58875,8
2011-07-18,CHILLI LIGHTS,133,732.0300000000001,7.28909090909091,11
2011-07-25,CHILLI LIGHTS,651,3126.89,5.935384615384615,12
2011-08-01,CHILLI LIGHTS,87,469.49,6.601666666666667,6
2011-08-08,CHILLI LIGHTS,135,727.22,7.438571428571429,7
2011-08-15,CHILLI LIGHTS,62,371.78000000000003,6.932,5
2011-08-22,CHILLI LIGHTS,110,642.0,6.735,12
2011-08-29,CHILLI LIGHTS,210,1084.56,8.168571428571429,7
2011-09-05,CHILLI LIGHTS,71,416.82000000000005,7.327500000000001,8
2011-09-12,CHILLI LIGHTS,262,1420.93,6.9592857142857145,14
2011-09-19,CHILLI LIGHTS,28,201.26,7.986666666666666,9
2011-09-26,CHILLI LIGHTS,162,875.7600000000001,6.538,15
2011-10-03,CHILLI LIGHTS,51,360.35,6.868333333333333,12
2011-10-10,CHILLI LIGHTS,150,819.25,7.113846153846154,13
2011-10-17,CHILLI LIGHTS,109,710.37,7.740666666666667,14
2011-10-24,CHILLI LIGHTS,431,2285.1200000000003,6.365714285714286,14
2011-10-31,CHILLI LIGHTS,166,1123.75,7.34,22
2011-11-07,CHILLI LIGHTS,482,2533.26,6.814583333333334,24
2011-11-14,CHILLI LIGHTS,389,2307.01,7.4210714285714285,27
2011-11-21,CHILLI LIGHTS,959,4960.25,6.806774193548388,31
2011-11-28,CHILLI LIGHTS,314,1717.92,8.065714285714286,21
2011-12-05,CHILLI LIGHTS,277,1714.2600000000002,8.854782608695654,23
2009-11-30,HOT WATER BOTTLE TEA AND SYMPATHY,439,1778.15,4.439655172413793,57
2009-12-07,HOT WATER BOTTLE TEA AND SYMPATHY,466,1869.0000000000002,4.340322580645162,61
2009-12-14,HOT WATER BOTTLE TEA AND SYMPATHY,529,2260.9500000000003,4.524324324324325,68
2009-12-21,HOT WATER BOTTLE TEA AND SYMPATHY,130,517.2,6.040909090909091,11
2010-01-04,HOT WATER BOTTLE TEA AND SYMPATHY,102,378.90000000000003,3.866666666666667,11
2010-01-11,HOT WATER BOTTLE TEA AND SYMPATHY,231,944.59,5.134137931034483,29
2010-01-18,HOT WATER BOTTLE TEA AND SYMPATHY,58,292.38,5.532,19
2010-01-25,HOT WATER BOTTLE TEA AND SYMPATHY,68,291.20000000000005,4.628,20
2010-02-01,HOT WATER BOTTLE TEA AND SYMPATHY,32,153.52,5.362500000000001,16
2010-02-08,HOT WATER BOTTLE TEA AND SYMPATHY,23,104.41000000000001,5.08,8
2010-02-15,HOT WATER BOTTLE TEA AND SYMPATHY,31,140.53,4.954444444444444,9
2010-02-22,HOT WATER BOTTLE TEA AND SYMPATHY,47,194.69,4.2325,15
2010-03-01,HOT WATER BOTTLE TEA AND SYMPATHY,26,125.30000000000001,5.08,11
2010-03-08,HOT WATER BOTTLE TEA AND SYMPATHY,24,135.48000000000002,6.415454545454546,11
2010-03-15,HOT WATER BOTTLE TEA AND SYMPATHY,28,110.60000000000001,3.95,5
2010-03-22,HOT WATER BOTTLE TEA AND SYMPATHY,32,130.92000000000002,4.402,10
2010-03-29,HOT WATER BOTTLE TEA AND SYMPATHY,16,67.72,4.703333333333334,6
2010-04-05,HOT WATER BOTTLE TEA AND SYMPATHY,96,343.2,3.866666666666667,5
2010-04-12,HOT WATER BOTTLE TEA AND SYMPATHY,2,7.9,3.95,2
2010-04-19,HOT WATER BOTTLE TEA AND SYMPATHY,33,129.91000000000003,6.043333333333334,6
2010-04-26,HOT WATER BOTTLE TEA AND SYMPATHY,12,47.400000000000006,3.9500000000000006,3
2010-05-03,HOT WATER BOTTLE TEA AND SYMPATHY,30,111.02000000000002,4.7540000000000004,5
2010-05-10,HOT WATER BOTTLE TEA AND SYMPATHY,60,222.04000000000002,4.955,8
2010-05-17,HOT WATER BOTTLE TEA AND SYMPATHY,8,40.64,5.758,5
2010-05-24,HOT WATER BOTTLE TEA AND SYMPATHY,5,24.270000000000003,6.210000000000001,2
2010-05-31,HOT WATER BOTTLE TEA AND SYMPATHY,8,31.6,3.9500000000000006,3
2010-06-07,HOT WATER BOTTLE TEA AND SYMPATHY,11,47.97,5.08,4
2010-06-14,HOT WATER BOTTLE TEA AND SYMPATHY,1,8.47,8.47,1
2010-06-21,HOT WATER BOTTLE TEA AND SYMPATHY,10,39.5,3.9500000000000006,3
2010-06-28,HOT WATER BOTTLE TEA AND SYMPATHY,12,47.400000000000006,3.9500000000000006,3
2010-07-05,HOT WATER BOTTLE TEA AND SYMPATHY,5,24.270000000000003,6.210000000000001,2
2010-07-12,HOT WATER BOTTLE TEA AND SYMPATHY,19,88.61,6.210000000000001,6
2010-07-19,HOT WATER BOTTLE TEA AND SYMPATHY,62,220.90000000000003,3.878571428571429,7
2010-07-26,HOT WATER BOTTLE TEA AND SYMPATHY,142,512.9000000000001,3.85,10
2010-08-02,HOT WATER BOTTLE TEA AND SYMPATHY,43,177.41000000000003,4.524285714285715,7
2010-08-09,HOT WATER BOTTLE TEA AND SYMPATHY,29,119.07000000000001,4.452222222222222,9
2010-08-16,HOT WATER BOTTLE TEA AND SYMPATHY,71,256.45000000000005,3.8388888888888895,9
2010-08-23,HOT WATER BOTTLE TEA AND SYMPATHY,51,198.49,4.524285714285715,7
2010-08-30,HOT WATER BOTTLE TEA AND SYMPATHY,36,155.76,5.306,10
